position_id,Firm,Position,Category,Location,Type,Priority,Application Requirements,Applied On,CV Version,Cohort Requirement,Cover Letter Required,Deadline,Division / Desk,Info,Next Step,Next Step Date,Notes,Online Tests,Opens (est.),Portal Link,Profile Fit,Referral / Contact,Status,Test Prep,Visa Sponsorship,notion_page_id,notion_url,last_edited_time
pos_3238c9c1fb,Amundi,Amundi — Internship / VIE 2027 (Quant),Systematic / Quant Fund,Paris,Off-cycle,Tier 3,,,,,no,,Quantitative Research / Multi-Asset (incl. Amundi Technology),,,,"Firm: Amundi (set Firm dropdown manually). Europe's largest AM, Paris HQ. Runs 4–6 month internships, apprenticeships and VIE (12–24 month international internships out of France); quant analyst roles. Posted rolling via jobs.amundi.com — set alerts. French likely needed for Paris stages. Added by Claude 2 Jul 2026.",Varies; French-language interviews likely for Paris stages — verify,Rolling,https://jobs.amundi.com/,Good,,Not Yet Open,,,3911d664-3333-810f-bbc1-d49fb419654c,https://app.notion.com/p/Amundi-Internship-VIE-2027-Quant-3911d6643333810fbbc1d49fb419654c,2026-09-18T10:29:00.000Z
pos_5d45737718,Aquatic Capital Management,Aquatic Capital Management — Quant Researcher / Graduate 2027,Systematic / Quant Fund,London,Graduate,Tier 3,,,,,no,,,,,,Added 2026-07-17 (Trackr gap check). Quant investment firm; London office (verify current London early-careers). Scan to confirm live European postings.,,TBC (verify at scan),https://aquaticcapital.com/careers/,Good,,Not Yet Open,,,3a01d664-3333-81e5-99c4-d69615b66c4b,https://app.notion.com/p/Aquatic-Capital-Management-Quant-Researcher-Graduate-2027-3a01d664333381e599c4d69615b66c4b,2026-09-18T10:28:00.000Z
pos_6ede889132,Aquatic Capital Management,"Aquatic Capital Management — Quantitative Researcher, Intern (Summer 2027)",Systematic / Quant Fund,London,Summer,Tier 3,,,,,no,,,,,,"OPENED 2026-07-20 — Quantitative Researcher, Intern (Summer 2027). Locations: Chicago; London (London is the in-scope option — application asks for location preference). Rolling, no published deadline. ELIGIBILITY CAVEAT: posting requires expected graduation between Fall 2027 and Spring 2028; Piyush's EDHEC MSc ends ~mid-2027, so he may fall just outside the window — worth confirming with the recruiter before investing time. Greenhouse application requires a GitHub username + public SSH key. Complementary row to the existing Graduate row, created by daily scan.",,"RE-CONFIRMED LIVE 2026-09-18 — Greenhouse req 8489186002, 'Chicago; London' (application form confirms the internship is offered only in Chicago and London). ⚠ ELIGIBILITY CAVEAT: requires an expected graduation date between Fall 2027 and Summer 2028. A June/July 2027 graduation would fall outside that window; only apply if Piyush's EDHEC conferral lands in autumn 2027 or later — worth confirming with EDHEC before spending time on it. Rolling, no published deadline.",https://job-boards.greenhouse.io/aquaticcapitalmanagement/jobs/8489186002,Good,,Open - Not Applied,,,3a31d664-3333-8115-8703-dbaeac0b053a,https://app.notion.com/p/Aquatic-Capital-Management-Quantitative-Researcher-Intern-Summer-2027-3a31d664333381158703dbaeac0b053a,2026-09-18T10:28:00.000Z
pos_bef140af39,Aspect Capital,Graduate Quant Researcher 2027,Systematic / Quant Fund,London,Graduate,Tier 2,,,,,no,,,,,,Auto-added 2026-07-15 for graduate-role coverage. Daily scan will check for live European graduate / campus-full-time postings.,,"TBC — checked 14 Sep 2026; only 'Entry Level Execution Trader' (immediate start, ~50% night shifts), not a 2027 grad intake",https://aspectcapital-94a5ce.careers.hibob.com/,Strong,,Not Yet Open,,,39e1d664-3333-818b-9fcb-ca2f60d0dac9,https://app.notion.com/p/Graduate-Quant-Researcher-2027-39e1d6643333818b9fcbca2f60d0dac9,2026-09-18T10:29:00.000Z
pos_0a246977b3,Aspect Capital,Quant Research Internship 2027,Systematic / Quant Fund,London,Summer,Tier 2,,,,,no,,Systematic Research,,Monitor portal,,London CTA/systematic macro fund. Quant research internships. Good fit for Systematic Trading track.,Coding + maths/statistics assessment,"TBC — checked 14 Sep 2026, no 2027 internship or grad programme posted (4 live roles, all experienced)",https://aspectcapital-94a5ce.careers.hibob.com/,Strong,,Not Yet Open,,,3911d664-3333-8151-a857-d0e47f5ea074,https://app.notion.com/p/Quant-Research-Internship-2027-3911d66433338151a857d0e47f5ea074,2026-09-18T10:29:00.000Z
pos_a182ede040,BNP Paribas,Markets Graduate Analyst 2027,Bulge Bracket Markets,Paris / London,Graduate,Tier 1,,,,,no,,,,,,Auto-added 2026-07-15 for graduate-role coverage. Daily scan will check for live European graduate / campus-full-time postings.,,RE-CHECKED 2026-09-17 — NOT OPEN in Europe. The only live '2027 Graduate Programme — Global Markets' req on group.bnpparibas is TOKYO. The France/London CIB early-careers page is a generic evergreen description with no dated 2027 posting.,https://group.bnpparibas/en/careers,Strong,,Not Yet Open,,,39e1d664-3333-8127-a378-dfe9c1626137,https://app.notion.com/p/Markets-Graduate-Analyst-2027-39e1d66433338127a378dfe9c1626137,2026-09-18T10:28:00.000Z
pos_607befc597,BNP Paribas,Summer Internship 2027 - Global Markets,Bulge Bracket Markets,Paris / London,Summer,Tier 1,,,,Penultimate year only,yes,,Global Markets,,Monitor portal,,"CHECKED 2026-08-25 — BNP's 'London - 2027 Summer Internship - Global Markets' IS live on group.bnpparibas (posted 18 Aug 2026, ref UKECGMSummer03) BUT explicitly requires candidates to be in their PENULTIMATE year and feeds the 2028 Graduate Programme — Piyush is final-year, so NOT eligible. Row left Not Yet Open. The '2027 Summer Associate Internship - Global Markets, Quantitative Research & Trading' is NEW YORK only (excluded). Watch instead for the London/Paris 2028 Global Markets GRADUATE programme and French stage postings on careers.cib.bnpparibas. || FR cover letter conventions - no em/en dashes. ONLY target May-Jun 2027 or later start dates. French stage postings for summer 2027 starts typically appear from late 2026 - Jan 2027; structured summer programme opens ~Oct 2026. Ignore Jan 2027 start postings.",Online tests + video; assessment centre (stage),"RE-CHECKED 2026-09-17 — CLOSED. group.bnpparibas 'London 2027 Summer Internship — Global Markets' page now reads 'Sorry, this position is already filled.' It also required penultimate year and fed the 2028 graduate programme, so not eligible regardless.",https://group.bnpparibas/en/careers,Strong,,Not Yet Open,,,3911d664-3333-81b9-8687-dc81871fe825,https://app.notion.com/p/Summer-Internship-2027-Global-Markets-3911d664333381b98687dc81871fe825,2026-09-18T15:09:00.000Z
pos_707f24d9c1,Balyasny,Balyasny (BAM) — Summer Internship / Rotational 2027 (verify London),Systematic / Quant Fund,London,Summer,Tier 2,,,,,no,,Fixed Income & Macro / Commodities / Technology (rotational),,,,"Firm: Balyasny (set Firm dropdown manually). Multi-manager with a London office (UK regulatory/tax disclosures present). Hires interns across Investment/Technology/Business Infra; returning interns join 12-month rotational programmes (Fixed Income & Macro, Commodities, Technology). Campus programme reads US-centric — a specific LONDON intern posting isn't confirmed as of 2 Jul 2026; check Open Roles. Added by Claude 2 Jul 2026.",Quant/case assessment; stock-pitch for investment tracks,Autumn 2026 (verify London),https://www.bamfunds.com/careers/internships,Moderate,,Not Yet Open,,,3911d664-3333-8147-aa6c-c85c0b3f8b03,https://app.notion.com/p/Balyasny-BAM-Summer-Internship-Rotational-2027-verify-London-3911d66433338147aa6cc85c0b3f8b03,2026-09-18T10:29:00.000Z
pos_3709ae113a,Balyasny,Graduate Quant Researcher 2027,Systematic / Quant Fund,London,Graduate,Tier 2,,,,,no,,,,,,Auto-added 2026-07-15 for graduate-role coverage. Daily scan will check for live European graduate / campus-full-time postings.,,TBC (grad cycle),https://www.bamfunds.com/careers/,Moderate,,Not Yet Open,,,39e1d664-3333-8167-9a08-e31b18a29abb,https://app.notion.com/p/Graduate-Quant-Researcher-2027-39e1d664333381679a08e31b18a29abb,2026-09-18T10:29:00.000Z
pos_177b348bc3,Bank of America,Global Markets Summer Analyst 2027,Bulge Bracket Markets,Paris / London,Summer,Tier 2,,,,Penultimate year only,no,,Global Markets,,Monitor portal,,Paris office growing post-Brexit; check both locations.,HireVue video interview + numerical/logical online tests,"LIVE 2026-09-17 but NOT ELIGIBLE — 'Global Markets (Sales & Trading) Rotational Programme 2027, Summer Analyst', London, apply by 11 Oct 2026, requires degree completion between Sept 2027 and July 2028 (penultimate-year cohort). No separate GM full-time/graduate 2027 req found for London or Paris.",https://careers.bankofamerica.com/en-us/students/job-detail/14718/global-markets-sales-trading-rotational-programme-2027-summer-analyst-london-london-united-kingdom,Good,,Not Yet Open,,,3911d664-3333-8101-9249-fce74d46d63a,https://app.notion.com/p/Global-Markets-Summer-Analyst-2027-3911d664333381019249fce74d46d63a,2026-09-18T15:10:00.000Z
pos_a58d37d7d4,Bank of America,Markets Graduate Analyst 2027,Bulge Bracket Markets,Paris / London,Graduate,Tier 2,,,,,no,,,,,,Auto-added 2026-07-15 for graduate-role coverage. Daily scan will check for live European graduate / campus-full-time postings.,,TBC (grad cycle),https://campus.bankofamerica.com,Good,,Not Yet Open,,,39e1d664-3333-812a-bf15-fe46c5cde31c,https://app.notion.com/p/Markets-Graduate-Analyst-2027-39e1d6643333812abf15fe46c5cde31c,2026-09-18T10:28:00.000Z
pos_66cfd47bd2,Barclays,Barclays — Quantitative Analytics Associate Graduate Programme 2027 (London),Bulge Bracket Markets,London,Graduate,Tier 2,,,,,no,,Quantitative Analytics — Markets Quants,,,,"OPENED 2026-09-12 — Verified live on Barclays' own board (search.jobs.barclays), date live 04/09/2026, ref JR-0000124678. Associate-level graduate programme for candidates who have completed (or are in the final year of) a Masters or higher in a technical/STEM discipline — Piyush's MSc Financial Engineering qualifies. Two intakes: February OR August 2027 — CHOOSE THE AUGUST 2027 INTAKE (Feb 2027 is before end of studies). Streams: Markets Quants (front-office pricing, valuation adjustments, market & counterparty credit risk across all asset classes; partners with trading and structuring) and Statistical Modelling Quants — target Markets Quants. Visa sponsorship available (skilled worker visa). No published closing date on the posting — treat as rolling, apply early. Apply via Barclays Workday: barclays.wd3.myworkdayjobs.com (JR-0000124678). Complements the existing Barclays Sales/Trading/Structuring Graduate (Paris) row.",,Open now,https://search.jobs.barclays/job/london/quantitative-analytics-associate-graduate-programme-2027-london/13015/100174975856,Good,,Open - Not Applied,,,3d91d664-3333-81d0-9aa0-d09e611ef923,https://app.notion.com/p/Barclays-Quantitative-Analytics-Associate-Graduate-Programme-2027-London-3d91d664333381d09aa0d09e611ef923,2026-09-18T10:28:00.000Z
pos_08fc67d1cb,Barclays,"Sales, Trading & Structuring Graduate Programme 2027 — Paris",Bulge Bracket Markets,Paris,Graduate,Tier 1,,,,,no,,Markets — Sales / Trading / Structuring,,,,"OPENED 2026-09-04 — LIVE and verified on Barclays' own board (search.jobs.barclays, req JR-0000124751, posted 3 Sep 2026): Sales, Trading and Structuring Graduate Programme 2027, Paris. Desks include Structuring & Securitised Products, Rates, FX, Credit, Commodities, Equities, eFICC Trading. Also live in Milan (JR via /job/milan/sales-trading-and-structuring-graduate-programme-2027-milan) and Frankfurt. NO London S&T grad posting live yet — London S&T/Markets 2027 grad + summer programmes still to open; Summer row left Not Yet Open. No published application deadline — rolling; apply early. Location switched London → Paris to match the confirmed live posting. Prior note: Auto-added 2026-07-15 for graduate-role coverage.",,TBC (grad cycle),https://search.jobs.barclays/job/paris/sales-trading-and-structuring-graduate-programme-2027-paris/13015/100128639632,Good,,Open - Not Applied,,,39e1d664-3333-81a8-b227-d5597cbb1685,https://app.notion.com/p/Sales-Trading-Structuring-Graduate-Programme-2027-Paris-39e1d664333381a8b227d5597cbb1685,2026-09-18T10:29:00.000Z
pos_e01c6c7493,Barclays,"Sales, Trading & Structuring Off-Cycle Internship Programme 2027 — Paris",Bulge Bracket Markets,Paris,Off-cycle,Tier 1,,,,,no,,Markets — Sales / Trading / Structuring,,,,"OPENED 2026-09-04 — Complementary Off-cycle row (Barclays previously had only Summer + Graduate rows). LIVE and verified on Barclays' own board (search.jobs.barclays, req JR-0000124763, posted 3 Sep 2026): 3–6 month off-cycle internship on the Paris markets floor, Sales / Trading / Structuring. Deeper project exposure than the summer programme and a direct feeder to the Full-time Analyst intake — a good fit for Piyush's June 2027 availability if he wants a longer stint. Also live in Milan, Frankfurt and Zurich. No published deadline — rolling.",,Open now,https://search.jobs.barclays/job/paris/sales-trading-and-structuring-off-cycle-internship-programme-2027-paris/13015/100128639600,Good,,Open - Not Applied,,,3d11d664-3333-81c7-9fa3-e36b72dbf76d,https://app.notion.com/p/Sales-Trading-Structuring-Off-Cycle-Internship-Programme-2027-Paris-3d11d664333381c79fa3e36b72dbf76d,2026-09-18T10:28:00.000Z
pos_96b81b95f5,Barclays,"Sales, Trading and Structuring Summer Internship Programme 2027 — London",Bulge Bracket Markets,London,Summer,Tier 1,,,,Final year / recent graduates OK,no,,Markets,,Monitor portal,,"OPENED 2026-09-10 — Barclays STS Summer Internship 2027, London (went live 09 Sep 2026). Open to penultimate OR FINAL year students, any discipline; 10 weeks Jun-Aug 2027; visa sponsorship available. Rolling, no published deadline. Barclays also has STS Off-Cycle 2027 (Paris/Milan/Frankfurt/Zurich) and STS Graduate 2027 (Frankfurt/Paris/Milan) live on the same board.",Barclays online assessment (situational + numerical) + video interview,Open now,https://search.jobs.barclays/job/london/sales-trading-and-structuring-summer-internship-programme-2027-london/13015/100397233984,Good,,Open - Not Applied,,Yes,3911d664-3333-8162-bd0c-e3227f8be10c,https://app.notion.com/p/Sales-Trading-and-Structuring-Summer-Internship-Programme-2027-London-3911d66433338162bd0ce3227f8be10c,2026-09-18T15:10:00.000Z
pos_858f79dc93,Belvedere Trading,Graduate / Campus Full-Time Trader 2027,Prop / Market Making,London,Graduate,Tier 3,,,,,no,,,,,,Auto-added 2026-07-15 for graduate-role coverage (incl. lower-fit firms). Daily scan will check for live European graduate / campus-full-time postings.,,TBC (grad cycle),https://www.belvederetrading.com/careers/,Weak,,Not Yet Open,,,39e1d664-3333-81ce-b660-c0c7b5a5028a,https://app.notion.com/p/Graduate-Campus-Full-Time-Trader-2027-39e1d664333381ceb660c0c7b5a5028a,2026-09-18T10:28:00.000Z
pos_fe7ef17619,Belvedere Trading,Trading Internship 2027,Prop / Market Making,London,Summer,Tier 3,,,,No European early-careers route,no,,Options Trading,,Monitor portal,,"NO EU EARLY-CAREERS ROUTE FOUND — Job board (Lever) lists only Chicago, New York, Singapore; all roles are experienced full-time. US-HQ'd options market maker with no London/EU office or early-careers route found as of Jul 2026. Original: US options market maker.",Online assessment + quant trading test,Verify,https://www.belvederetrading.com/careers/,Weak,,Not Yet Open,,,3911d664-3333-81f1-a7a1-ca9ca8efdd96,https://app.notion.com/p/Trading-Internship-2027-3911d664333381f1a7a1ca9ca8efdd96,2026-09-18T10:50:00.000Z
pos_330de980e6,BlackRock,"BlackRock — 2027 Full-Time Analyst Programme, EMEA (Quant Investing / Markets)",Systematic / Quant Fund,London,Graduate,Tier 2,,,,,no,2026-09-30,,,,,"OPENED 2026-08-25 — Complementary Graduate row (BlackRock previously only had an Off-cycle row). LIVE and verified on careers.blackrock.com (req 12219): 2027 Full-Time Analyst Programme, EMEA — 2-year analyst programme, primary location London plus Amsterdam, Brussels, Copenhagen, Edinburgh, Frankfurt, Milan, Munich, Paris, Stockholm, Zurich. Eligibility: graduating with a bachelor's or master's between June 2026 and July 2027 — fits Piyush (EDHEC MSc, June 2027); start date August 2027, earlier starts considered. Quant-relevant placements include BlackRock Systematic / Quantitative Investing, Investment Research, Portfolio Management, Analytics & Modeling. DEADLINE 30 Sep 2026 for London / Edinburgh / Paris / Zurich (30 Oct 2026 Milan & Amsterdam); rolling review, apply early. NB local-language fluency required for Continental Europe locations — London is the clean route. Pre-interview assessment must be completed within 5 days of applying.",,Open now,https://careers.blackrock.com/job/london/2027-full-time-analyst-program-emea/45831/97150826656,Good,,Open - Not Applied,,,3c71d664-3333-8112-9913-f563cd8a35e1,https://app.notion.com/p/BlackRock-2027-Full-Time-Analyst-Programme-EMEA-Quant-Investing-Markets-3c71d664333381129913f563cd8a35e1,2026-09-18T10:28:00.000Z
pos_c6c70ecbe4,BlackRock,"BlackRock — 2027 Off-Cycle Internship, EMEA (Quant Investing)",Systematic / Quant Fund,London,Off-cycle,Tier 2,,,,Final year / recent graduates OK,no,2026-09-30,Systematic (Quantitative Investing) / Investment Research / Analytics & Modeling,,,,"Firm: BlackRock. LIVE — verified on BlackRock's own site. BlackRock's whole EMEA 2027 early-careers cycle is now OPEN (posted 29–30 Jun 2026): (1) Off-Cycle Internship EMEA (6-mth, London/Paris/Zurich/etc.; grads Jul 2027–2028); (2) Client & Product Summer Internship EMEA; and the 8-wk Summer Internship (Investments incl. Quantitative Investing, for 2028 grads) on the same cycle. Quant-relevant functions: Quantitative Investing (BlackRock Systematic), Investment Research, Portfolio Management, Analytics & Modeling, Investment Risk & Quant Analysis. DEADLINE 30 Sep 2026 (London/Edinburgh/Paris/Zurich); rolling review — apply early. Quant Master's Internship (grads Aug 2027–Jul 2028, needs 1yr experience) also runs. Portal link is the Off-Cycle posting. Added by Claude 2 Jul 2026.",Recorded video pre-interview assessment; coding challenge for Analytics & Modeling / Software Engineering functions,Open now,https://careers.blackrock.com/job/london/2027-off-cycle-internship-program-emea/45831/97104654800,Good,,Open - Not Applied,,,3911d664-3333-81ad-9265-d729e7690dcd,https://app.notion.com/p/BlackRock-2027-Off-Cycle-Internship-EMEA-Quant-Investing-3911d664333381ad9265d729e7690dcd,2026-09-18T15:11:00.000Z
pos_a03b3090d5,BlockTech,"BlockTech — Junior Quantitative Researcher, Options (Amsterdam)",Prop / Market Making,Amsterdam,Graduate,Tier 2,,,,,no,,Quantitative Research — systematic options,,,,"OPENED 2026-09-10 — Firm: BLOCKTECH, Amsterdam (not available in the Firm dropdown — dropdown at capacity). Entry-level quant researcher, systematic options: signal research through to live PnL. Strong quant degree plus Python/ML. No graduation-cohort restriction stated. Rolling, no published deadline.",,Open now,https://jobs.ashbyhq.com/blocktech/62599691-b90b-4165-81f1-c3726b61bd48,Good,,Open - Not Applied,,,3d71d664-3333-8166-ba76-e6c1315e9bc4,https://app.notion.com/p/BlockTech-Junior-Quantitative-Researcher-Options-Amsterdam-3d71d66433338166ba76e6c1315e9bc4,2026-09-18T10:36:00.000Z
pos_aec5b2264c,BlockTech,"BlockTech — Quantitative Researcher Internship, Summer 2027 (Amsterdam)",Prop / Market Making,Amsterdam,Summer,Tier 2,,,,Final year / recent graduates OK,no,,Quantitative Research — options / crypto derivatives,,,,"OPENED 2026-09-10 — Firm: BLOCKTECH, crypto-derivatives market maker, Amsterdam (not available in the Firm dropdown — dropdown at capacity). Posted 28 Aug 2026, rolling, no published deadline. Eligibility says '(pen)ultimate year' so FINAL-YEARS ARE EXPLICITLY ELIGIBLE; 8–10 weeks from 5 July 2027, option-pricing research project. Timing works post-graduation.",,Open now,https://jobs.ashbyhq.com/blocktech/b170f716-113b-4e6e-a883-473f3cabf062,Good,,Open - Not Applied,,,3d71d664-3333-81a0-8a86-f6c4f08041a2,https://app.notion.com/p/BlockTech-Quantitative-Researcher-Internship-Summer-2027-Amsterdam-3d71d664333381a08a86f6c4f08041a2,2026-09-18T15:14:00.000Z
pos_b1481b372f,Bloomberg,Financial Engineering / Quant Internship 2027,Trading Tech / Quant Dev,London,Summer,Tier 3,,,,,no,,TOMS / Quant / Financial Engineering,,Monitor portal,,MOSTLY OFF-TARGET (quant-dev / systems — Financial Engineering & TOMS trading systems are programming-heavy). London graduate intake is large; only pursue if a markets-facing quant-research/strats role appears. Formal summer internship exists. Reprioritised given your focus on quant research/trading/structuring.,HackerRank coding assessment + technical interview,Sep-Oct 2026,https://careers.bloomberg.com/students,Weak,,Not Yet Open,,,3911d664-3333-8164-85c3-cf062b357a04,https://app.notion.com/p/Financial-Engineering-Quant-Internship-2027-3911d6643333816485c3cf062b357a04,2026-09-18T10:29:00.000Z
pos_70db049495,BlueCrest,BlueCrest — Junior/Graduate Quant Research & Front-Office Tech (London/Geneva),Systematic / Quant Fund,London,Graduate,Tier 2,,,,,no,,"Front-Office Tech & Quant Research (cross-asset analytics, pricing/risk, market data)",,,,"Systematic firm / family office (Michael Platt); offices London, Geneva, Jersey, NY, Miami, Singapore. Hires junior/graduate-level quant researchers and front-office technologists (cross-asset analytics library, pricing/risk apps) via direct application on Greenhouse — no fixed summer-internship cohort found; rolling. Added by Claude 2 Jul 2026.",Coding + maths + research-methodology technical assessment,Rolling / direct application,https://job-boards.greenhouse.io/bluecrestcapitalmanagement,Good,,Not Yet Open,,,3911d664-3333-81e3-b463-f3f965fa2b56,https://app.notion.com/p/BlueCrest-Junior-Graduate-Quant-Research-Front-Office-Tech-London-Geneva-3911d664333381e3b463f3f965fa2b56,2026-09-18T10:29:00.000Z
