position_id,Firm,Position,Category,Location,Type,Priority,Application Requirements,Applied On,CV Version,Cohort Requirement,Cover Letter Required,Deadline,Desk Contacts,Division / Desk,Info,Next Step,Next Step Date,Notes,Online Tests,Opens (est.),Portal Link,Profile Fit,Referral / Contact,Status,Test Prep,Visa Sponsorship,notion_page_id,notion_url,last_edited_time
pos_3238c9c1fb,Amundi,Amundi — Internship / VIE 2027 (Quant),Systematic / Quant Fund,Paris,Off-cycle,Tier 3,,,,,no,,,Quantitative Research / Multi-Asset (incl. Amundi Technology),,,,"Firm: Amundi (set Firm dropdown manually). Europe's largest AM, Paris HQ. Runs 4–6 month internships, apprenticeships and VIE (12–24 month international internships out of France); quant analyst roles. Posted rolling via jobs.amundi.com — set alerts. French likely needed for Paris stages. Added by Claude 2 Jul 2026.",Varies; French-language interviews likely for Paris stages — verify,Rolling,https://jobs.amundi.com/,Good,,Not Yet Open,,,3911d664-3333-810f-bbc1-d49fb419654c,https://app.notion.com/p/Amundi-Internship-VIE-2027-Quant-3911d6643333810fbbc1d49fb419654c,2026-09-18T10:29:00.000Z
pos_5d45737718,Aquatic Capital Management,Aquatic Capital Management — Quant Researcher / Graduate 2027,Systematic / Quant Fund,London,Graduate,Tier 3,,,,,no,,,,,,,Added 2026-07-17 (Trackr gap check). Quant investment firm; London office (verify current London early-careers). Scan to confirm live European postings.,,"RE-CHECKED 2026-09-19 — NOT OPEN in Europe. Greenhouse board (aquaticcapitalmanagement, 8 live reqs): 'Quantitative Researcher, Early Career' is Chicago + New York ONLY. London appears only on the experienced 'Quantitative Researcher' req and on the Summer 2027 intern req (already tracked as Open). No European graduate quant intake.",https://aquaticcapital.com/careers/,Good,,Not Yet Open,,,3a01d664-3333-81e5-99c4-d69615b66c4b,https://app.notion.com/p/Aquatic-Capital-Management-Quant-Researcher-Graduate-2027-3a01d664333381e599c4d69615b66c4b,2026-09-19T08:24:00.000Z
pos_6ede889132,Aquatic Capital Management,"Aquatic Capital Management — Quantitative Researcher, Intern (Summer 2027)",Systematic / Quant Fund,London,Summer,Tier 3,,,,,no,,,,,,,"OPENED 2026-07-20 — Quantitative Researcher, Intern (Summer 2027). Locations: Chicago; London (London is the in-scope option — application asks for location preference). Rolling, no published deadline. ELIGIBILITY CAVEAT: posting requires expected graduation between Fall 2027 and Spring 2028; Piyush's EDHEC MSc ends ~mid-2027, so he may fall just outside the window — worth confirming with the recruiter before investing time. Greenhouse application requires a GitHub username + public SSH key. Complementary row to the existing Graduate row, created by daily scan.",,"RE-CONFIRMED LIVE 2026-09-18 — Greenhouse req 8489186002, 'Chicago; London' (application form confirms the internship is offered only in Chicago and London). ⚠ ELIGIBILITY CAVEAT: requires an expected graduation date between Fall 2027 and Summer 2028. A June/July 2027 graduation would fall outside that window; only apply if Piyush's EDHEC conferral lands in autumn 2027 or later — worth confirming with EDHEC before spending time on it. Rolling, no published deadline.",https://job-boards.greenhouse.io/aquaticcapitalmanagement/jobs/8489186002,Good,,Open - Not Applied,,,3a31d664-3333-8115-8703-dbaeac0b053a,https://app.notion.com/p/Aquatic-Capital-Management-Quantitative-Researcher-Intern-Summer-2027-3a31d664333381158703dbaeac0b053a,2026-09-18T10:28:00.000Z
pos_bef140af39,Aspect Capital,Graduate Quant Researcher 2027,Systematic / Quant Fund,London,Graduate,Tier 2,,,,,no,,,,,,,"CHECKED 22 Sep 2026 — NOT OPEN. Aspect Capital's Hibob board (aspectcapital-94a5ce.careers.hibob.com) shows 6 live roles, none of them a graduate quant researcher intake and none under a Quantitative Research function: Operations Intern (China), Software Engineer (London), Entry Level Execution Trader (London, permanent), Senior Quantitative Developer – Python (London), Senior Software Engineer – Data (London), Systems Administrator (London). || Auto-added 2026-07-15 for graduate-role coverage. Daily scan will check for live European graduate / campus-full-time postings.",,TBC (grad cycle),https://aspectcapital-94a5ce.careers.hibob.com/,Strong,,Not Yet Open,,,39e1d664-3333-818b-9fcb-ca2f60d0dac9,https://app.notion.com/p/Graduate-Quant-Researcher-2027-39e1d6643333818b9fcbca2f60d0dac9,2026-09-22T07:29:00.000Z
pos_0a246977b3,Aspect Capital,Quant Research Internship 2027,Systematic / Quant Fund,London,Summer,Tier 2,,,,,no,,,Systematic Research,,Monitor portal,,"CHECKED 22 Sep 2026 — NOT OPEN. Aspect Capital's Hibob board (aspectcapital-94a5ce.careers.hibob.com) lists 6 live roles in total: Operations Intern (China), Software Engineer (London), Entry Level Execution Trader (London, permanent, posted 24 Jul 2026), Senior Quantitative Developer – Python (London), Senior Software Engineer – Data (London), Systems Administrator (London). There is no Quantitative Research function on the board at all, and no 2027 internship. The nearest adjacent role remains the Entry Level Execution Trader (immediate start, ~50% night shifts) — not a 2027 intake. || London CTA/systematic macro fund. Quant research internships. Good fit for Systematic Trading track.",Coding + maths/statistics assessment,TBC — no internship route on board,https://aspectcapital-94a5ce.careers.hibob.com/,Strong,,Not Yet Open,,,3911d664-3333-8151-a857-d0e47f5ea074,https://app.notion.com/p/Quant-Research-Internship-2027-3911d66433338151a857d0e47f5ea074,2026-09-22T07:29:00.000Z
pos_a182ede040,BNP Paribas,Markets Graduate Analyst 2027,Bulge Bracket Markets,Paris / London,Graduate,Tier 1,,,,,no,,,,,,,Auto-added 2026-07-15 for graduate-role coverage. Daily scan will check for live European graduate / campus-full-time postings.,,RE-CHECKED 2026-09-17 — NOT OPEN in Europe. The only live '2027 Graduate Programme — Global Markets' req on group.bnpparibas is TOKYO. The France/London CIB early-careers page is a generic evergreen description with no dated 2027 posting.,https://group.bnpparibas/en/careers,Strong,,Not Yet Open,,,39e1d664-3333-8127-a378-dfe9c1626137,https://app.notion.com/p/Markets-Graduate-Analyst-2027-39e1d66433338127a378dfe9c1626137,2026-09-18T10:28:00.000Z
pos_607befc597,BNP Paribas,Summer Internship 2027 - Global Markets,Bulge Bracket Markets,Paris / London,Summer,Tier 1,,,,Penultimate year only,yes,,,Global Markets,,Monitor portal,,"CHECKED 2026-08-25 — BNP's 'London - 2027 Summer Internship - Global Markets' IS live on group.bnpparibas (posted 18 Aug 2026, ref UKECGMSummer03) BUT explicitly requires candidates to be in their PENULTIMATE year and feeds the 2028 Graduate Programme — Piyush is final-year, so NOT eligible. Row left Not Yet Open. The '2027 Summer Associate Internship - Global Markets, Quantitative Research & Trading' is NEW YORK only (excluded). Watch instead for the London/Paris 2028 Global Markets GRADUATE programme and French stage postings on careers.cib.bnpparibas. || FR cover letter conventions - no em/en dashes. ONLY target May-Jun 2027 or later start dates. French stage postings for summer 2027 starts typically appear from late 2026 - Jan 2027; structured summer programme opens ~Oct 2026. Ignore Jan 2027 start postings.",Online tests + video; assessment centre (stage),"RE-CHECKED 2026-09-17 — CLOSED. group.bnpparibas 'London 2027 Summer Internship — Global Markets' page now reads 'Sorry, this position is already filled.' It also required penultimate year and fed the 2028 graduate programme, so not eligible regardless.",https://group.bnpparibas/en/careers,Strong,,Not Yet Open,,,3911d664-3333-81b9-8687-dc81871fe825,https://app.notion.com/p/Summer-Internship-2027-Global-Markets-3911d664333381b98687dc81871fe825,2026-09-18T15:09:00.000Z
pos_707f24d9c1,Balyasny,Balyasny (BAM) — Summer Internship / Rotational 2027 (verify London),Systematic / Quant Fund,London,Summer,Tier 2,,,,,no,,,Fixed Income & Macro / Commodities / Technology (rotational),,,,"Firm: Balyasny (set Firm dropdown manually). Multi-manager with a London office (UK regulatory/tax disclosures present). Hires interns across Investment/Technology/Business Infra; returning interns join 12-month rotational programmes (Fixed Income & Macro, Commodities, Technology). Campus programme reads US-centric — a specific LONDON intern posting isn't confirmed as of 2 Jul 2026; check Open Roles. Added by Claude 2 Jul 2026.",Quant/case assessment; stock-pitch for investment tracks,Autumn 2026 (verify London),https://www.bamfunds.com/careers/internships,Moderate,,Not Yet Open,,,3911d664-3333-8147-aa6c-c85c0b3f8b03,https://app.notion.com/p/Balyasny-BAM-Summer-Internship-Rotational-2027-verify-London-3911d66433338147aa6cc85c0b3f8b03,2026-09-18T10:29:00.000Z
pos_3709ae113a,Balyasny,Graduate Quant Researcher 2027,Systematic / Quant Fund,London,Graduate,Tier 2,,,,,no,,,,,,,Auto-added 2026-07-15 for graduate-role coverage. Daily scan will check for live European graduate / campus-full-time postings.,,TBC (grad cycle),https://www.bamfunds.com/careers/,Moderate,,Not Yet Open,,,39e1d664-3333-8167-9a08-e31b18a29abb,https://app.notion.com/p/Graduate-Quant-Researcher-2027-39e1d664333381679a08e31b18a29abb,2026-09-18T10:29:00.000Z
pos_177b348bc3,Bank of America,Global Markets Summer Analyst 2027,Bulge Bracket Markets,Paris / London,Summer,Tier 2,,,,Penultimate year only,no,,,Global Markets,,Monitor portal,,Paris office growing post-Brexit; check both locations.,HireVue video interview + numerical/logical online tests,"LIVE 2026-09-17 but NOT ELIGIBLE — 'Global Markets (Sales & Trading) Rotational Programme 2027, Summer Analyst', London, apply by 11 Oct 2026, requires degree completion between Sept 2027 and July 2028 (penultimate-year cohort). No separate GM full-time/graduate 2027 req found for London or Paris.",https://careers.bankofamerica.com/en-us/students/job-detail/14718/global-markets-sales-trading-rotational-programme-2027-summer-analyst-london-london-united-kingdom,Good,,Not Yet Open,,,3911d664-3333-8101-9249-fce74d46d63a,https://app.notion.com/p/Global-Markets-Summer-Analyst-2027-3911d664333381019249fce74d46d63a,2026-09-18T15:10:00.000Z
pos_a58d37d7d4,Bank of America,Markets Graduate Analyst 2027,Bulge Bracket Markets,Paris / London,Graduate,Tier 2,,,,,no,,,,,,,"CHECKED 22 Sep 2026 — NOT OPEN (now resolved, previously 'could not verify'). Checked bankcampuscareers.tal.net directly: the two legacy Global Markets full-time analyst programme IDs are explicitly dead — ID 621 (London) reads 'Application Deadline: 31 October 2016... This Program is closed to applications' and ID 3022 (London) reads 'Application Deadline October 25 2018... This Program is closed'. No live 2027 Global Markets FULL-TIME analyst requisition exists for London or Paris on either careers.bankofamerica.com or bankcampuscareers.tal.net. The only live 2027 EMEA Global Markets reqs are the SUMMER Analyst (London, ID 14718) and OFF-CYCLE Analyst (Paris, ID 14724), both closing 11 Oct 2026 and both requiring degree completion between September 2027 and July 2028 — i.e. the 2028-graduate cohort, so neither is a route for a June-2027 finisher and neither was added as a row. || COULD NOT VERIFY 19 Sep 2026 — careers.bankofamerica.com/en-us/students/job-search returns a client-rendered shell; a UK + 'global markets full time analyst' query produced no rendered listings, so absence is not evidence of absence. BofA campus requisitions actually live on bankcampuscareers.tal.net (brand-4), which is the board to check next run. Note the BofA SUMMER row was verified live on 17 Sep 2026 (penultimate-year only, closes 11 Oct 2026), and no separate Global Markets full-time/graduate 2027 req was found for London or Paris at that time. || Auto-added 2026-07-15 for graduate-role coverage. Daily scan will check for live European graduate / campus-full-time postings.",,TBC (grad cycle) — no FT route found,https://campus.bankofamerica.com,Good,,Not Yet Open,,,39e1d664-3333-812a-bf15-fe46c5cde31c,https://app.notion.com/p/Markets-Graduate-Analyst-2027-39e1d6643333812abf15fe46c5cde31c,2026-09-22T07:28:00.000Z
pos_66cfd47bd2,Barclays,Barclays — Quantitative Analytics Associate Graduate Programme 2027 (London),Bulge Bracket Markets,London,Graduate,Tier 2,,,,,no,,,Quantitative Analytics — Markets Quants,,,,"OPENED 2026-09-12 — Verified live on Barclays' own board (search.jobs.barclays), date live 04/09/2026, ref JR-0000124678. Associate-level graduate programme for candidates who have completed (or are in the final year of) a Masters or higher in a technical/STEM discipline — Piyush's MSc Financial Engineering qualifies. Two intakes: February OR August 2027 — CHOOSE THE AUGUST 2027 INTAKE (Feb 2027 is before end of studies). Streams: Markets Quants (front-office pricing, valuation adjustments, market & counterparty credit risk across all asset classes; partners with trading and structuring) and Statistical Modelling Quants — target Markets Quants. Visa sponsorship available (skilled worker visa). No published closing date on the posting — treat as rolling, apply early. Apply via Barclays Workday: barclays.wd3.myworkdayjobs.com (JR-0000124678). Complements the existing Barclays Sales/Trading/Structuring Graduate (Paris) row.",,Open now,https://search.jobs.barclays/job/london/quantitative-analytics-associate-graduate-programme-2027-london/13015/100174975856,Good,,Open - Not Applied,,,3d91d664-3333-81d0-9aa0-d09e611ef923,https://app.notion.com/p/Barclays-Quantitative-Analytics-Associate-Graduate-Programme-2027-London-3d91d664333381d09aa0d09e611ef923,2026-09-18T10:28:00.000Z
pos_08fc67d1cb,Barclays,"Sales, Trading & Structuring Graduate Programme 2027 — Paris",Bulge Bracket Markets,Paris,Graduate,Tier 1,,,,,no,,,Markets — Sales / Trading / Structuring,,,,"OPENED 2026-09-04 — LIVE and verified on Barclays' own board (search.jobs.barclays, req JR-0000124751, posted 3 Sep 2026): Sales, Trading and Structuring Graduate Programme 2027, Paris. Desks include Structuring & Securitised Products, Rates, FX, Credit, Commodities, Equities, eFICC Trading. Also live in Milan (JR via /job/milan/sales-trading-and-structuring-graduate-programme-2027-milan) and Frankfurt. NO London S&T grad posting live yet — London S&T/Markets 2027 grad + summer programmes still to open; Summer row left Not Yet Open. No published application deadline — rolling; apply early. Location switched London → Paris to match the confirmed live posting. Prior note: Auto-added 2026-07-15 for graduate-role coverage.",,TBC (grad cycle),https://search.jobs.barclays/job/paris/sales-trading-and-structuring-graduate-programme-2027-paris/13015/100128639632,Good,,Open - Not Applied,,,39e1d664-3333-81a8-b227-d5597cbb1685,https://app.notion.com/p/Sales-Trading-Structuring-Graduate-Programme-2027-Paris-39e1d664333381a8b227d5597cbb1685,2026-09-18T10:29:00.000Z
pos_e01c6c7493,Barclays,"Sales, Trading & Structuring Off-Cycle Internship Programme 2027 — Paris",Bulge Bracket Markets,Paris,Off-cycle,Tier 1,,,,,no,,,Markets — Sales / Trading / Structuring,,,,"OPENED 2026-09-04 — Complementary Off-cycle row (Barclays previously had only Summer + Graduate rows). LIVE and verified on Barclays' own board (search.jobs.barclays, req JR-0000124763, posted 3 Sep 2026): 3–6 month off-cycle internship on the Paris markets floor, Sales / Trading / Structuring. Deeper project exposure than the summer programme and a direct feeder to the Full-time Analyst intake — a good fit for Piyush's June 2027 availability if he wants a longer stint. Also live in Milan, Frankfurt and Zurich. No published deadline — rolling.",,Open now,https://search.jobs.barclays/job/paris/sales-trading-and-structuring-off-cycle-internship-programme-2027-paris/13015/100128639600,Good,,Open - Not Applied,,,3d11d664-3333-81c7-9fa3-e36b72dbf76d,https://app.notion.com/p/Sales-Trading-Structuring-Off-Cycle-Internship-Programme-2027-Paris-3d11d664333381c79fa3e36b72dbf76d,2026-09-18T10:28:00.000Z
pos_96b81b95f5,Barclays,"Sales, Trading and Structuring Summer Internship Programme 2027 — London",Bulge Bracket Markets,London,Summer,Tier 1,,,,Final year / recent graduates OK,no,,"Elina Pipa — Sales & Trading Analyst, Barclays, office not shown in snippet — linkedin.com/in/elina-pipa-a99267226 — desk match, office unverified [from search snippet, verify on LinkedIn]
Only one London-plausible analyst found in ~6 searches; two other strong desk matches were dropped because their snippets placed them in New York, not London. Run this yourself: LinkedIn People search — Current company ""Barclays"" + Location ""London, England, United Kingdom"" + keywords ""Sales and Trading Analyst"" OR ""Structuring Analyst""; then repeat with School ""EDHEC Business School"" to find an alumnus on the desk.",Markets,,Monitor portal,,"OPENED 2026-09-10 — Barclays STS Summer Internship 2027, London (went live 09 Sep 2026). Open to penultimate OR FINAL year students, any discipline; 10 weeks Jun-Aug 2027; visa sponsorship available. Rolling, no published deadline. Barclays also has STS Off-Cycle 2027 (Paris/Milan/Frankfurt/Zurich) and STS Graduate 2027 (Frankfurt/Paris/Milan) live on the same board.",Barclays online assessment (situational + numerical) + video interview,Open now,https://search.jobs.barclays/job/london/sales-trading-and-structuring-summer-internship-programme-2027-london/13015/100397233984,Good,,Open - Not Applied,,Yes,3911d664-3333-8162-bd0c-e3227f8be10c,https://app.notion.com/p/Sales-Trading-and-Structuring-Summer-Internship-Programme-2027-London-3911d66433338162bd0ce3227f8be10c,2026-09-22T07:33:00.000Z
pos_858f79dc93,Belvedere Trading,Graduate / Campus Full-Time Trader 2027,Prop / Market Making,London,Graduate,Tier 3,,,,,no,,,,,,,Auto-added 2026-07-15 for graduate-role coverage (incl. lower-fit firms). Daily scan will check for live European graduate / campus-full-time postings.,,TBC (grad cycle),https://www.belvederetrading.com/careers/,Weak,,Not Yet Open,,,39e1d664-3333-81ce-b660-c0c7b5a5028a,https://app.notion.com/p/Graduate-Campus-Full-Time-Trader-2027-39e1d664333381ceb660c0c7b5a5028a,2026-09-18T10:28:00.000Z
pos_fe7ef17619,Belvedere Trading,Trading Internship 2027,Prop / Market Making,London,Summer,Tier 3,,,,No European early-careers route,no,,,Options Trading,,Monitor portal,,"NO EU EARLY-CAREERS ROUTE FOUND — Job board (Lever) lists only Chicago, New York, Singapore; all roles are experienced full-time. US-HQ'd options market maker with no London/EU office or early-careers route found as of Jul 2026. Original: US options market maker.",Online assessment + quant trading test,Verify,https://www.belvederetrading.com/careers/,Weak,,Not Yet Open,,,3911d664-3333-81f1-a7a1-ca9ca8efdd96,https://app.notion.com/p/Trading-Internship-2027-3911d664333381f1a7a1ca9ca8efdd96,2026-09-18T10:50:00.000Z
pos_330de980e6,BlackRock,"BlackRock — 2027 Full-Time Analyst Programme, EMEA (Quant Investing / Markets)",Systematic / Quant Fund,London,Graduate,Tier 2,,,,,no,2026-09-30,,,,,,"OPENED 2026-08-25 — Complementary Graduate row (BlackRock previously only had an Off-cycle row). LIVE and verified on careers.blackrock.com (req 12219): 2027 Full-Time Analyst Programme, EMEA — 2-year analyst programme, primary location London plus Amsterdam, Brussels, Copenhagen, Edinburgh, Frankfurt, Milan, Munich, Paris, Stockholm, Zurich. Eligibility: graduating with a bachelor's or master's between June 2026 and July 2027 — fits Piyush (EDHEC MSc, June 2027); start date August 2027, earlier starts considered. Quant-relevant placements include BlackRock Systematic / Quantitative Investing, Investment Research, Portfolio Management, Analytics & Modeling. DEADLINE 30 Sep 2026 for London / Edinburgh / Paris / Zurich (30 Oct 2026 Milan & Amsterdam); rolling review, apply early. NB local-language fluency required for Continental Europe locations — London is the clean route. Pre-interview assessment must be completed within 5 days of applying.",,Open now,https://careers.blackrock.com/job/london/2027-full-time-analyst-program-emea/45831/97150826656,Good,,Open - Not Applied,,,3c71d664-3333-8112-9913-f563cd8a35e1,https://app.notion.com/p/BlackRock-2027-Full-Time-Analyst-Programme-EMEA-Quant-Investing-Markets-3c71d664333381129913f563cd8a35e1,2026-09-18T10:28:00.000Z
pos_c6c70ecbe4,BlackRock,"BlackRock — 2027 Off-Cycle Internship, EMEA (Quant Investing)",Systematic / Quant Fund,London,Off-cycle,Tier 2,,,,Final year / recent graduates OK,no,2026-09-30,,Systematic (Quantitative Investing) / Investment Research / Analytics & Modeling,,,,"Firm: BlackRock. LIVE — verified on BlackRock's own site. BlackRock's whole EMEA 2027 early-careers cycle is now OPEN (posted 29–30 Jun 2026): (1) Off-Cycle Internship EMEA (6-mth, London/Paris/Zurich/etc.; grads Jul 2027–2028); (2) Client & Product Summer Internship EMEA; and the 8-wk Summer Internship (Investments incl. Quantitative Investing, for 2028 grads) on the same cycle. Quant-relevant functions: Quantitative Investing (BlackRock Systematic), Investment Research, Portfolio Management, Analytics & Modeling, Investment Risk & Quant Analysis. DEADLINE 30 Sep 2026 (London/Edinburgh/Paris/Zurich); rolling review — apply early. Quant Master's Internship (grads Aug 2027–Jul 2028, needs 1yr experience) also runs. Portal link is the Off-Cycle posting. Added by Claude 2 Jul 2026.",Recorded video pre-interview assessment; coding challenge for Analytics & Modeling / Software Engineering functions,Open now,https://careers.blackrock.com/job/london/2027-off-cycle-internship-program-emea/45831/97104654800,Good,,Open - Not Applied,,,3911d664-3333-81ad-9265-d729e7690dcd,https://app.notion.com/p/BlackRock-2027-Off-Cycle-Internship-EMEA-Quant-Investing-3911d664333381ad9265d729e7690dcd,2026-09-18T15:11:00.000Z
